fen
7b2/10/10/2b7/3wbb4/1b2wb4/4ww4/6w3/b2w6/10 [w] 13 - b80 - w12
7b2/2w7/10/2b7/3wbb4/1b2wb4/4ww4/6w3/b2w6/10 [w] 14 - w12 - w96
7b2/2w7/10/2b7/3wbb4/1b2wb4/4ww4/6w3/b2w6/6w3 [b] 15 - w96 - b66
7b2/2w7/10/2b7/3wbb4/1b2wb4/4wwb3/6w3/b2w6/6w3 [b] 16 - b66 - b87
7b2/2w7/10/2b7/3wbb4/1b2wb4/4wwb3/6w3/b2w3b2/6w3 [w] 17 - b87 - w88
7b2/2w7/10/2b7/3wbb4/1b2wb4/4wwb3/6w3/b2w3bw1/6w3 [w] 18 - w88 - w33
7b2/2w7/10/2bw6/3wbb4/1b2wb4/4wwb3/6w3/b2w3bw1/6w3 [b] 19 - w33 - b53
7b2/2w7/10/2bw6/3wbb4/1b1bwb4/4wwb3/6w3/b2w3bw1/6w3 [b] 20 - b53 - b46
7b2/2w7/10/2bw6/3wbbb3/1b1bwb4/4wwb3/6w3/b2w3bw1/6w3 [w] 21 - b46 - w48
7b2/2w7/10/2bw6/3wbbb1w1/1b1bwb4/4wwb3/6w3/b2w3bw1/6w3 [w] 22 - w48 - w74
7b2/2w7/10/2bw6/3wbbb1w1/1b1bwb4/4wwb3/4w1w3/b2w3bw1/6w3 [b] 23 - w74 - b56
7b2/2w7/10/2bw6/3wbbb1w1/1b1bwbb3/4wwb3/4w1w3/b2w3bw1/6w3 [b] 24 - b56 - b68
7b2/2w7/10/2bw6/3wbbb1w1/1b1bwbb3/4wwb1b1/4w1w3/b2w3bw1/6w3 [w] 25 - b68 - w34
7b2/2w7/10/2bww5/3wbbb1w1/1b1bwbb3/4wwb1b1/4w1w3/b2w3bw1/6w3 [w] 26 - w34 - w8
7bw1/2w7/10/2bww5/3wbbb1w1/1b1bwbb3/4wwb1b1/4w1w3/b2w3bw1/6w3 [b] 27 - w8 - b35
7bw1/2w7/10/2bwwb4/3wbbb1w1/1b1bwbb3/4wwb1b1/4w1w3/b2w3bw1/6w3 [b] 28 - b35 - b25
7bw1/2w7/5b4/2bwwb4/3wbbb1w1/1b1bwbb3/4wwb1b1/4w1w3/b2w3bw1/6w3 [w] 29 - b25 - w15
7bw1/2w2w4/5b4/2bwwb4/3wbbb1w1/1b1bwbb3/4wwb1b1/4w1w3/b2w3bw1/6w3 [w] 30 - w15 - w67
7bw1/2w2w4/5b4/2bwwb4/3wbbb1w1/1b1bwbb3/4wwbwb1/4w1w3/b2w3bw1/6w3 [b] 31 - w67 - b62
7bw1/2w2w4/5b4/2bwwb4/3wbbb1w1/1b1bwbb3/2b1wwbwb1/4w1w3/b2w3bw1/6w3 [b] 32 - b62 - b71
======
10/10/10/10/10/10/10/10/5b4/10 [w] 1 - b85 - w45
10/10/10/10/5b4/10/10/10/5b4/10 [w] 2 - b45 - w44
10/10/10/10/4wb4/10/10/10/5b4/10 [w] 3 - w44 - w62
10/10/10/10/4wb4/10/2w7/10/5b4/10 [b] 4 - w62 - b55
10/10/10/10/4wb4/5b4/2w7/10/5b4/10 [b] 5 - b55 - b65
10/10/10/10/4wb4/5b4/2w2b4/10/5b4/10 [w] 6 - b65 - w35
10/10/10/5w4/4wb4/5b4/2w2b4/10/5b4/10 [w] 7 - w35 - w75
10/10/10/5w4/4wb4/5b4/2w2b4/5w4/5b4/10 [b] 8 - w75 - b40
10/10/10/5w4/b3wb4/5b4/2w2b4/5w4/5b4/10 [b] 9 - b40 - b64
10/10/10/5w4/b3wb4/5b4/2w1bb4/5w4/5b4/10 [w] 10 - b64 - w53
10/10/10/5w4/b3wb4/3w1b4/2w1bb4/5w4/5b4/10 [w] 11 - w53 - w26
10/10/6w3/5w4/b3wb4/3w1b4/2w1bb4/5w4/5b4/10 [b] 12 - w26 - b8
8b1/10/6w3/5w4/b3wb4/3w1b4/2w1bb4/5w4/5b4/10 [b] 13 - b8 - b17
8b1/7b2/6w3/5w4/b3wb4/3w1b4/2w1bb4/5w4/5b4/10 [w] 14 - b17 - w71
======
10/10/10/10/4b5/10/10/10/10/10 [w] 1 - b44 - w54
10/10/10/10/4b5/4w5/10/10/10/10 [w] 2 - w54 - w78
10/10/10/10/4b5/4w5/10/8w1/10/10 [b] 3 - w78 - b45
10/10/10/10/4bb4/4w5/10/8w1/10/10 [b] 4 - b45 - b92
10/10/10/10/4bb4/4w5/10/8w1/10/2b7 [w] 5 - b92 - w55
10/10/10/10/4bb4/4ww4/10/8w1/10/2b7 [w] 6 - w55 - w7
7w2/10/10/10/4bb4/4ww4/10/8w1/10/2b7 [b] 7 - w7 - b53
7w2/10/10/10/4bb4/3bww4/10/8w1/10/2b7 [b] 8 - b53 - b56
7w2/10/10/10/4bb4/3bwwb3/10/8w1/10/2b7 [w] 9 - b56 - w24
7w2/10/4w5/10/4bb4/3bwwb3/10/8w1/10/2b7 [w] 10 - w24 - w95
7w2/10/4w5/10/4bb4/3bwwb3/10/8w1/10/2b2w4 [b] 11 - w95 - b46
7w2/10/4w5/10/4bbb3/3bwwb3/10/8w1/10/2b2w4 [b] 12 - b46 - b43
