next_turn,move_count,last_move_player,last_move_position,line_counts_competitor_4,line_counts_competitor_5,line_counts_player_4,line_counts_player_5,base_value,shap_sum,predicted_class,actual_class,expected_value
-3.987527932268938e-10,1.375756249662648e-09,-2.47606901417526e-10,6.952276023393841e-10,9.246150511899032e-10,2.684798043606218e-10,4.776302386007755e-10,2.032311390935219e-10,,3.2985803906024347e-09,2,0,0.36727823905365176
-6.175181014681878e-10,-2.438361364672422e-09,3.67332783512223e-10,-1.5442204459592546e-09,6.694941823148781e-11,9.24819688422988e-11,2.1095729561363777e-10,1.1824340765056776e-10,,-3.744135038249648e-09,0,0,0.32229377485109595
-7.150447363842479e-10,1.555478477503295e-10,-1.1497832041208282e-10,-2.2628682955216917e-10,-7.534860235747232e-11,1.0644574111040583e-10,-9.439191095417243e-11,-2.5512690686920375e-10,,-1.2191837176686131e-09,1,0,0.31042798609525285
-1.223937340366632e-10,-7.394082771986869e-09,-1.4163409406524793e-10,-4.435105431059109e-10,-1.8255074304048455e-10,1.6657395370452596e-10,-8.817854085796384e-11,1.3771568839008688e-10,,-8.068060784998528e-09,0,0,0.32229377485109595
6.013002919654417e-10,2.192402914306483e-09,-1.9624015375659573e-10,8.81981728391897e-10,8.675594224497966e-10,4.647745290483248e-10,5.67844531812467e-10,3.626473698882989e-10,,5.742270634106113e-09,1,0,0.31042798609525285
-7.27626107514349e-11,9.875960454523252e-10,-8.411007076010908e-11,-1.8592421259973808e-09,5.802591324099993e-10,2.7536466162825235e-11,3.5339022796028924e-10,8.739334632125913e-11,,2.0060410797773215e-11,0,0,0.32229377485109595
1.6372723662949618e-10,1.6772901354859351e-10,2.1647035206018295e-10,-1.045147352921975e-09,2.8685159803032434e-10,1.1798874608818602e-10,1.2240282630064195e-10,1.4683792029512865e-10,,1.7686034003057855e-10,0,2,0.32229377485109595
3.2320789100648284e-10,7.244428205469926e-11,1.1746427326190614e-10,-1.235033186830492e-10,-7.019601289126598e-10,7.407228013826354e-11,-4.5786843385029846e-10,1.4607849131709205e-10,,-5.500646636675636e-10,2,2,0.36727823905365176
-2.9285123169057553e-10,-7.909866317490355e-09,-7.727673362323273e-11,3.6619136753934453e-10,-1.416083454201337e-11,1.2211481825730175e-11,-2.446980332480401e-10,-1.6135952238723512e-11,,-8.176586253467864e-09,0,0,0.32229377485109595
-8.008434332351655e-10,5.107881397940309e-10,7.966415670942566e-11,-2.0564054047563415e-10,1.2076877461038768e-10,-9.136783734112197e-11,-1.1097654392666634e-10,-8.582886346086838e-10,,-1.3558959184734273e-09,2,1,0.36727823905365176
5.555974291748811e-10,-5.421573375426666e-11,-2.8134498579237183e-10,1.6587136988007364e-10,-3.158599539328696e-11,-2.91992518127356e-10,-2.0305075560759592e-10,-3.50760272678959e-10,,-4.914814622988817e-10,1,2,0.31042798609525285
-2.5602279555651346e-11,-8.287922107867255e-10,3.258173800202435e-10,-1.4475441909948354e-09,2.7164484550645795e-10,7.742528377689221e-11,3.6373724923248013e-10,1.4348188334794196e-10,,-1.1198320394531964e-09,2,0,0.36727823905365176
3.598339982461655e-10,1.6354867229025534e-09,1.6250093400523488e-10,7.870888431756503e-10,-1.0018539701543243e-10,3.220520725100151e-11,2.9702582985772588e-12,1.588690185987928e-10,,3.0387695854625436e-09,2,2,0.36727823905365176
3.6967927561729987e-11,1.2992874600289046e-09,4.5126092677409226e-11,1.747722913729895e-09,6.310771534974909e-10,1.3574663384104588e-10,5.005555692161323e-11,1.7071973468143348e-10,,4.116703472939522e-09,1,1,0.31042798609525285
4.992504419136049e-10,1.5492832942480088e-09,2.081893985909448e-10,7.791640943555223e-11,9.164069503242445e-11,7.317794518494718e-11,-1.902420385576272e-10,9.573341215538451e-11,,2.4049495580032395e-09,0,1,0.32229377485109595
7.709483514547108e-12,9.88626426094245e-10,2.541203994917603e-11,-5.7070783284392706e-12,-1.077766376145206e-09,2.2831651846910717e-10,2.6127357684776104e-10,1.5017197526010864e-10,,5.780365656612996e-10,2,2,0.36727823905365176
